MeterType,MeterNo,the_geom,POINT_X,POINT_Y,Status
Strada,3243005,POINT (-73.96821926274404 40.67973540724035),993064.867529,186923.95363,Active
Strada,3343052,POINT (-73.94749943957036 40.58403262221174),998832.720166,152059.629986,Active
Strada,3343053,POINT (-73.94741312341763 40.584142567312135),998856.671562,152099.700116,Active
Strada,3343054,POINT (-73.95494782273238 40.58796296766168),996763.097665,153490.401403,Active
Strada,3883001,POINT (-73.95259263355686 40.5856126829246),997417.707248,152634.478902,Active
Strada,3883002,POINT (-73.95258329381157 40.585561214144185),997420.311574,152615.728939,Active
Strada,3883003,POINT (-73.9525758308223 40.585508317006415),997422.394903,152596.458309,Active
Strada,3883004,POINT (-73.95257211608433 40.58545827967726),997423.436568,152578.229014,Active
Strada,3883005,POINT (-73.9525665227477 40.585413959897444),997424.998901,152562.083049,Active
Strada,3383107,POINT (-73.9186172336334 40.63110208967894),1006839.19825,169214.379469,Active
Strada,3383109,POINT (-73.9184786366598 40.6297955308045),1006878.11123,168738.40109,Active
Strada,3403013,POINT (-73.93913765430256 40.67988319693949),1001131.05251,186982.063094,Active
Strada,3403014,POINT (-73.93959101389375 40.67990795506216),1001005.30047,186990.996147,Active
Strada,3403015,POINT (-73.94014165788366 40.67993836505075),1000852.5639,187001.970534,Active
Strada,3403017,POINT (-73.94152279605233 40.680012613083164),1000469.46755,187028.762475,Active
Strada,3403018,POINT (-73.94210926205893 40.68004343708578),1000306.79563,187039.8845,Active
Strada,3403019,POINT (-73.94274883914304 40.68007843410827),1000129.39179,187052.518333,Active
Strada,3403021,POINT (-73.94480641882915 40.68019095830718),999558.66819,187093.147845,Active
Strada,3403023,POINT (-73.94760188500048 40.68034300420298),998783.275712,187148.066371,Active
Strada,3403024,POINT (-73.94852683928173 40.68039381358502),998526.71717,187166.425586,Active
Strada,3403025,POINT (-73.95076852257903 40.680512887121104),997904.934292,187209.450106,Active
Strada,3403036,POINT (-73.95236280687256 40.680486655344666),997462.745872,187199.648616,Active
Strada,3403037,POINT (-73.95167984539823 40.68044950710741),997652.180861,187186.218197,Active
Strada,3403038,POINT (-73.95087483326469 40.68040512026907),997875.469784,187170.170985,Active
Strada,3403040,POINT (-73.94738235147732 40.68021442401912),998844.194225,187101.257409,Active
Strada,3403041,POINT (-73.94532492456534 40.68010275011847),999414.873858,187060.920876,Active
Strada,3403042,POINT (-73.94469895503735 40.68006883476302),999588.502776,187048.673525,Active
Strada,3403043,POINT (-73.94252632393555 40.679951746854385),1000191.13969,187006.40294,Active
Strada,3403044,POINT (-73.94199572881678 40.679923403455696),1000338.3146,186996.17363,Active
Strada,3403118,POINT (-73.93992797297886 40.67981083447889),1000911.8643,186955.548055,Inactive
Strada,3403119,POINT (-73.93959019221683 40.67979128576383),1001005.55768,186948.490326,Active
Strada,3403120,POINT (-73.9388890989112 40.67974744680091),1001200.02744,186932.653416,Active
Strada,3523015,POINT (-73.96248909562267 40.67249999285806),994655.344663,184288.513691,Retired
Strada,3533011,POINT (-73.98063754611229 40.65997115481973),989622.060766,179722.270199,Active
Strada,3543029,POINT (-73.96903670833233 40.597380594653785),992848.742305,156919.783651,Active
Strada,3623007,POINT (-73.86284992784879 40.67940846115256),1022290.81597,186833.018772,Inactive
Strada,3623030,POINT (-73.86277036390958 40.679198904575216),1022313.00391,186756.705933,Inactive
Strada,1043010,POINT (-73.97637897317705 40.74368022583635),990795.366491,210220.272851,Active
Strada,1043011,POINT (-73.97648603231568 40.74369654331466),990765.698899,210226.209847,Active
Strada,1043012,POINT (-73.9767422526202 40.74318580894925),990694.749894,210040.11409,Active
Strada,1043015,POINT (-73.97721744676858 40.74253176129873),990563.135,209801.789108,Active
Strada,1043016,POINT (-73.97728395548246 40.74260044619543),990544.698685,209826.808415,Active
Strada,1043097,POINT (-73.98712983982664 40.729504710630465),987817.069298,205055.065333,Active
Strada,1043098,POINT (-73.98699447467615 40.72936350468142),987854.594485,205003.625148,Active
Strada,1043100,POINT (-73.9868832121053 40.72898794305033),987885.452363,204866.800946,Active
Strada,1043101,POINT (-73.98761045364415 40.72930254333799),987683.873698,204981.390284,Active
Strada,1043102,POINT (-73.98727508377482 40.728977013424455),987776.841688,204862.802923,Active
Strada,1043103,POINT (-73.98798375928979 40.72833127715811),987580.457238,204627.513367,Active
